attained_age,q_x
25,0.00101
26,0.00104
27,0.00109
28,0.00107
29,0.00103
30,0.00101
31,0.00098
32,0.00097
33,0.00098
34,0.001
35,0.00102
36,0.00107
37,0.00111
38,0.00119
39,0.00128
40,0.00136
41,0.00148
42,0.00163
43,0.00179
44,0.002
45,0.00224
46,0.00246
47,0.00271
48,0.00283
49,0.00299
50,0.00319
51,0.00345
52,0.0038
53,0.00419
54,0.0047
55,0.00532
56,0.00595
57,0.00663
58,0.00718
59,0.00782
60,0.00865
61,0.00966
62,0.01092
63,0.01234
64,0.01382
65,0.01538
66,0.01695
67,0.01853
68,0.02024
69,0.02198
70,0.02412
71,0.02652
72,0.02973
73,0.03309
74,0.03662
75,0.04047
76,0.04443
77,0.04904
78,0.05443
79,0.06064
80,0.06737
81,0.07501
82,0.08285
83,0.09121
84,0.10043
85,0.11066
86,0.12196
87,0.13419
88,0.14717
89,0.16071
90,0.17466
91,0.18738
92,0.20045
93,0.21405
94,0.22826
95,0.24298
96,0.25732
97,0.27249
98,0.28855
99,0.30555
100,0.32354
101,0.34258
102,0.36274
103,0.38406
104,0.40663
105,0.43021
106,0.45516
107,0.48156
108,0.50949
109,0.53905
110,0.57031
111,0.60339
112,0.63838
113,0.67541
114,0.71458
115,0.75603
116,0.79988
117,0.84627
118,0.89536
119,0.94729
120,1
